日期,附件,企业名称,内推码
,,三七互娱,DSjHrUcj
,,腾讯,ZXH7FEII
,,蔚来汽车,U984JKT
,,特变电工,wulqgw
,,蔚来,A89Y46F
,,富特,DSWCFpgb
,,浪潮集团,7PCr9KE
,,广联达,NTA70ya
,,千里智驾:,DSbSyzhE
,,合合信息,ESKMB0
,,阿里云27届实习,6GJN60D
,,富特科技,DSWCFpgb
,,小天才,DSh74pMh
,,优博讯科技,EVVMBT
,,货拉拉,NTAFmsQ
,,合合信息,MXA4QC
,,得物,NN4H2JC
,,4399游戏,v9828
,,凡岛,BJTCX
,,英雄游戏,DSyu1Qz2
,,TYLOO,WeRFlcons
,,Falcons,hideIlya
,,金山办公,NTAM3b3
,,基恩士,EVKJS2
,,小米公司,小米公司社招内推码: 5BHC7F6
,,康冠科技,XIwcoo
,,大疆,DSjmranQ
,,吉比特,ES3MAK
,,波克,FVKQ7B5
,,迅雷,DSKCPS6J
,,小米,4F3HWD7
,,京东,XHPGFO
,,古茗,NTAHxTm
,,卓越教育,jgkghd
,,正泰电器,NTA6X00
,,三七互娱,NTAhFZu
,,银泰商业,ESKW9J
,,健合集团,mcdxmf
,,米哈游,OHLJ9
,,CVTE视源股份,CVTE2026BJCX
,,柠檬微趣:,NTAOtU4
,,康冠,ESKMHO
,,我乐家居,ESVM1R
,,蓝禾&图拉斯:,6QTXS92
,,小米,HK2HVXN
,,佑驾创新,NTAeng7
,,中通快递,0SRzk
,,汤臣倍健,EV3Y1R
,,三七互娱,DSmj7msW
,,睿联技术:,DSDuXav4
,,搜狐畅游,DSFuq3uU
,,淘宝闪购27届实习,6GJN6OD
,,联想,2026XZLMLZJ2
,,容知日新,DSAKjbWk
,,科华集团,EVVPSJ
,,科大讯飞,ES3PVV
,,海天味业,tursak
