year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2024,三支一扶,2024安徽三支一扶招募,县卫健委,16279 县卫健委,大专及以上,大专：5201临床医学类； 大学本科：100201K临床医学、100601K中西医临床医学； 研究生：1002临床医学，1051临床医学（专业硕士学位）。,,笔试+面试,,,招募类别：支医；服务单位：乡镇卫生院；招聘人数：4；报名人数：12；合格人数：8；缴费人数：7,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：5201临床医学类； 大学本科：100201K临床医学、100601K中西医临床医学； 研究生：1002临床医学，1051临床医学（专业硕士学位）。
2024,三支一扶,2024安徽三支一扶招募,县辖乡镇,16280 县辖乡镇,大专及以上,大专：4401建筑设计类、4402城乡规划与管理类、4403土建施工类； 大学本科：0705地理科学类、0801力学类、0810土木类、0828建筑类； 研究生:0705地理学、0801力学、0813建筑学、0814土木工程，0851建筑、0853城乡规划（专业硕士学位）。,,笔试+面试,,,招募类别：乡村振兴协理；服务单位：乡镇政府；招聘人数：2；报名人数：50；合格人数：22；缴费人数：11,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：4401建筑设计类、4402城乡规划与管理类、4403土建施工类； 大学本科：0705地理科学类、0801力学类、0810土木类、0828建筑类； 研究生:0705地理学、0801力学、0813建筑学、0814土木工程，0851建筑、0853城乡规划（专业硕士学位）。
2024,三支一扶,2024安徽三支一扶招募,县辖乡镇,16281 县辖乡镇,大专及以上,不限,,笔试+面试,,,招募类别：乡村振兴协理；服务单位：乡镇政府；招聘人数：7；报名人数：472；合格人数：354；缴费人数：219,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：不限
2024,三支一扶,2024安徽三支一扶招募,县辖乡镇,16282 县辖乡镇,大专及以上,大专：45水利大类; 大学本科：0811水利类; 研究生：0815水利工程，0859土木水利（专业硕士学位）,,笔试+面试,,,招募类别：支农；服务单位：乡镇水利林业站；招聘人数：3；报名人数：23；合格人数：7；缴费人数：4,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：45水利大类; 大学本科：0811水利类; 研究生：0815水利工程，0859土木水利（专业硕士学位）
2025,三支一扶,2025安徽三支一扶招募,县卫健委,16296 县卫健委,大专及以上,大专：5201临床医学类； 大学本科：100201K临床医学、100601K中西医临床医学； 研究生：1002临床医学、1051临床医学。,,笔试+面试,,,招募类别：支医；服务单位：乡镇卫生院；招聘人数：4；报名人数：32；合格人数：25；缴费人数：18,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：5201临床医学类； 大学本科：100201K临床医学、100601K中西医临床医学； 研究生：1002临床医学、1051临床医学。
2025,三支一扶,2025安徽三支一扶招募,县卫健委,16297 县卫健委,大专及以上,大专：520401K中医学； 大学本科：100501K中医学； 研究生：1005中医学、1057中医。,,笔试+面试,,,招募类别：支医；服务单位：乡镇卫生院；招聘人数：3；报名人数：19；合格人数：13；缴费人数：11,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：520401K中医学； 大学本科：100501K中医学； 研究生：1005中医学、1057中医。
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇,16298 县辖乡镇,大专及以上,大专：5804法律实务类、5805法律执行类； 大学本科：0301法学类； 研究生：0301法学、0351法律。,,笔试+面试,,,招募类别：乡村振兴协理-法律；服务单位：乡镇政府；招聘人数：4；报名人数：75；合格人数：57；缴费人数：32,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：5804法律实务类、5805法律执行类； 大学本科：0301法学类； 研究生：0301法学、0351法律。
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇、街道办事处,16299 县辖乡镇、街道办事处,大专及以上,大专：4401建筑设计类、4402城乡规划与管理类、4403土建施工类； 大学本科：0705地理科学类、0801力学类、0810土木类、0828建筑类； 研究生：0705地理学、0801力学、0813建筑学、0814土木工程，0833城乡规划学、0851建筑、0853城市规划。,,笔试+面试,,,招募类别：乡村振兴协理-建规；服务单位：乡镇政府、街道办事处；招聘人数：8；报名人数：151；合格人数：117；缴费人数：67,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：4401建筑设计类、4402城乡规划与管理类、4403土建施工类； 大学本科：0705地理科学类、0801力学类、0810土木类、0828建筑类； 研究生：0705地理学、0801力学、0813建筑学、0814土木工程，0833城乡规划学、0851建筑、0853城市规划。
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇,16300 县辖乡镇,大专及以上,专业不限,,笔试+面试,,,招募类别：乡村振兴协理；服务单位：乡镇政府；招聘人数：3；报名人数：264；合格人数：238；缴费人数：147,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：专业不限
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇,16301 县辖乡镇,大专及以上,专业不限,,笔试+面试,,,招募类别：支农-水利；服务单位：河塌乡水利站；招聘人数：1；报名人数：80；合格人数：68；缴费人数：31,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：专业不限
